TEAM_ID,TEAM_NAME,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK
1610612750,Minnesota Timberwolves,45,32,13,0.711,2170.0,1846,3787,0.487,551,1424,0.387,846,1079,0.784,410,1565,1975,1184,684.0,338,265,207,877,923,5089,253.0,8,2,2,2,14,20,29,8,18,24,3,11,9,15,27,4,11,14,28,15,7,7,17,6,18,6
1610612740,New Orleans Pelicans,45,26,19,0.578,2165.0,1923,3952,0.487,553,1445,0.383,854,1117,0.765,494,1506,2000,1221,599.0,369,213,238,879,871,5253,194.0,8,10,11,11,20,12,19,9,17,21,4,10,6,24,12,9,9,10,14,3,20,18,18,15,12,7
1610612752,New York Knicks,46,29,17,0.63,2208.0,1915,4085,0.469,612,1631,0.375,865,1107,0.781,575,1549,2124,1106,629.0,343,177,240,848,933,5307,256.0,1,6,9,8,5,13,7,19,8,12,10,8,8,16,3,6,3,25,21,13,27,20,10,4,8,5
1610612760,Oklahoma City Thunder,45,32,13,0.711,2170.0,2020,4008,0.504,586,1504,0.39,845,1010,0.837,383,1472,1855,1232,566.0,378,291,241,898,876,5471,391.0,8,2,2,2,14,3,15,2,12,18,2,12,16,1,30,13,27,9,5,2,1,21,22,12,3,2
1610612753,Orlando Magic,45,23,22,0.511,2175.0,1815,3882,0.468,481,1413,0.34,898,1189,0.755,503,1447,1950,1100,661.0,364,243,219,950,996,5009,11.0,8,16,15,16,10,25,23,21,30,27,30,5,3,27,9,20,14,27,24,4,13,10,28,1,23,16
1610612755,Philadelphia 76ers,43,29,14,0.674,2074.0,1826,3836,0.476,502,1368,0.367,999,1198,0.834,473,1394,1867,1091,518.0,389,261,256,886,874,5153,335.0,25,6,4,5,26,22,25,15,28,30,15,1,2,2,15,28,26,28,1,1,9,25,19,13,14,3
1610612756,Phoenix Suns,45,26,19,0.578,2175.0,1892,3854,0.491,541,1431,0.378,930,1134,0.82,456,1493,1949,1186,661.0,327,267,217,851,946,5255,104.0,8,10,11,11,10,16,24,7,22,22,7,3,4,5,20,10,16,12,24,18,6,9,11,3,11,11
1610612757,Portland Trail Blazers,45,13,32,0.289,2185.0,1772,4065,0.436,550,1547,0.356,769,976,0.788,542,1328,1870,1011,679.0,358,211,280,917,834,4863,-413.0,8,26,26,26,8,28,10,30,19,14,23,19,20,12,4,29,25,30,27,5,22,28,26,25,28,28
1610612758,Sacramento Kings,43,25,18,0.581,2089.0,1877,3928,0.478,653,1749,0.373,697,952,0.732,456,1415,1871,1240,575.0,299,172,219,873,823,5104,27.0,25,13,10,10,25,18,21,12,3,4,12,28,24,30,20,23,24,8,9,23,28,10,16,27,17,14
1610612759,San Antonio Spurs,45,9,36,0.2,2170.0,1894,4113,0.46,569,1659,0.343,722,918,0.786,455,1492,1947,1319,662.0,324,265,200,834,837,5079,-395.0,8,28,28,28,14,15,5,26,14,11,29,25,28,14,22,11,17,4,26,19,7,5,5,23,21,26
1610612761,Toronto Raptors,45,16,29,0.356,2170.0,1935,4036,0.479,524,1484,0.353,744,1010,0.737,507,1458,1965,1328,595.0,331,220,238,831,835,5138,-109.0,8,25,25,25,14,10,13,10,25,20,25,22,16,29,8,17,13,3,12,17,19,18,4,24,15,23
1610612762,Utah Jazz,46,23,23,0.5,2233.0,1960,4181,0.469,606,1700,0.356,881,1070,0.823,582,1564,2146,1298,734.0,319,273,295,902,928,5407,-78.0,1,16,17,17,2,6,3,20,10,6,22,6,10,3,1,5,1,5,30,21,5,29,23,5,5,22
1610612764,Washington Wizards,45,8,37,0.178,2160.0,1946,4088,0.476,543,1544,0.352,744,964,0.772,402,1411,1813,1260,612.0,349,243,252,894,843,5179,-411.0,8,29,29,29,21,7,6,14,21,15,27,22,21,21,28,24,29,7,18,10,13,23,21,21,13,27
